## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/content/BSF_genomics_pipeline/Data/SRR22964721.sorted.bam] OUTPUT=/content/BSF_genomics_pipeline/Data/SRR22964721_markdup.bam METRICS_FILE=/content/BSF_genomics_pipeline/Data/SRR22964721_markdup_metrics.txt REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 16 16:36:53 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5658	239345	21989	15652	729	28671	0	0.119895	917538

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	184609	184609
2.0	1.770392	23632	23632
3.0	2.363896	2271	2271
4.0	2.821127	151	151
5.0	3.173374	11	11
6.0	3.444742	0	0
7.0	3.653802	0	0
8.0	3.81486	0	0
9.0	3.938938	0	0
10.0	4.034526	0	0
11.0	4.108167	0	0
12.0	4.164899	0	0
13.0	4.208605	0	0
14.0	4.242276	0	0
15.0	4.268216	0	0
16.0	4.2882	0	0
17.0	4.303595	0	0
18.0	4.315456	0	0
19.0	4.324593	0	0
20.0	4.331632	0	0
21.0	4.337055	0	0
22.0	4.341233	0	0
23.0	4.344451	0	0
24.0	4.346931	0	0
25.0	4.348841	0	0
26.0	4.350313	0	0
27.0	4.351446	0	0
28.0	4.35232	0	0
29.0	4.352993	0	0
30.0	4.353511	0	0
31.0	4.35391	0	0
32.0	4.354218	0	0
33.0	4.354455	0	0
34.0	4.354638	0	0
35.0	4.354778	0	0
36.0	4.354887	0	0
37.0	4.35497	0	0
38.0	4.355034	0	0
39.0	4.355084	0	0
40.0	4.355122	0	0
41.0	4.355152	0	0
42.0	4.355174	0	0
43.0	4.355192	0	0
44.0	4.355205	0	0
45.0	4.355216	0	0
46.0	4.355224	0	0
47.0	4.35523	0	0
48.0	4.355234	0	0
49.0	4.355238	0	0
50.0	4.355241	0	0
51.0	4.355243	0	0
52.0	4.355245	0	0
53.0	4.355246	0	0
54.0	4.355247	0	0
55.0	4.355248	0	0
56.0	4.355248	0	0
57.0	4.355249	0	0
58.0	4.355249	0	0
59.0	4.355249	0	0
60.0	4.35525	0	0
61.0	4.35525	0	0
62.0	4.35525	0	0
63.0	4.35525	0	0
64.0	4.35525	0	0
65.0	4.35525	0	0
66.0	4.35525	0	0
67.0	4.35525	0	0
68.0	4.35525	0	0
69.0	4.35525	0	0
70.0	4.35525	0	0
71.0	4.35525	0	0
72.0	4.35525	0	0
73.0	4.35525	0	0
74.0	4.35525	0	0
75.0	4.35525	0	0
76.0	4.35525	0	0
77.0	4.35525	0	0
78.0	4.35525	0	0
79.0	4.35525	0	0
80.0	4.35525	0	0
81.0	4.35525	0	0
82.0	4.35525	0	0
83.0	4.35525	0	0
84.0	4.35525	0	0
85.0	4.35525	0	0
86.0	4.35525	0	0
87.0	4.35525	0	0
88.0	4.35525	0	0
89.0	4.35525	0	0
90.0	4.35525	0	0
91.0	4.35525	0	0
92.0	4.35525	0	0
93.0	4.35525	0	0
94.0	4.35525	0	0
95.0	4.35525	0	0
96.0	4.35525	0	0
97.0	4.35525	0	0
98.0	4.35525	0	0
99.0	4.35525	0	0
100.0	4.35525	0	0

